puzzle,solution
620740100070100052508000370067300900090000060800970031002000006000800000450002003,623745198974138652518269374267381945391524867845976231782493516136857429459612783
627140503345206971089503602000700364793054018460008059056031097971005836834067105,627149583345286971189573642518792364793654218462318759256831497971425836834967125
720890500390460100000217890809002000204008000105049287610000028080020915950701040,721893564398465172546217893869572431274138659135649287613954728487326915952781346
803700000026000004097100203705000908901070040038401567170950800680210435352846000,813724659526389174497165283745632918961578342238491567174953826689217435352846791
206007905345092018000850060000509000708000450004083126420060580571200094860000200,286317945345692718197854362612549873738126459954783126423961587571238694869475231
700000000400708061100296847000001400801000030090600075080010006007052394935467010,768145923429738561153296847576321489841579632392684175284913756617852394935467218
900000002010060390083900100804095007130670049060041000302010050000500000541080030,956134782417268395283957164824395617135672849769841523372416958698523471541789236
005000060000006302040081597012038754000200810087014000120007680000092030954860200,375429168891756342246381597612938754439275816587614923123547689768192435954863271
709000100421000050300700008100000302908320000002070809070530400090000675000600093,789256134421893756365714928157968342948321567632475819276539481893142675514687293
001300002079000000020670903000967300750001049080503100040702530205806700107405060,861359472379124856524678913412967385753281649986543127648792531235816794197435268
600017400401003008059800721120000050000040800008020100004530007700090086263170000,682917435471253968359864721127389654536741892948625173894536217715492386263178549
800005047040008500000000630000000490590040002072006305980000273067804051030070000,829365147643718529751492638318527496596143782472986315984651273267834951135279864
400000070060850240000301065049078500007032008280009430120703004700010000006200009,415926873963857241872341965349178526657432198281569437128793654794615382536284719
500000260024086000807152300000600703003400006700098120030800600072000481000070000,519734268324986517867152349481625793293417856756398124135849672972563481648271935
604001035003450001521900000069807104250014007410090006000060010000039070070140503,694281735783456921521973648369827154258614397417395286835762419146539872972148563
420796050300280497879004612690005201538400009010369004983647025006150000100020346,421796853365281497879534612694875231538412769712369584983647125246153978157928346
080000090090502000003001408007090630000000001650020000900300080310040970002879013,586437192194582367723961458247198635839654721651723849975316284318245976462879513
005020040007090318106840070510000693300000700074230001050764189040001002081902030,835127946427695318196843275512478693368519724974236851253764189749381562681952437
000000065004056701070813940006005490500690000009042000062504179000000030000000628,198427365234956781675813942826175493543698217719342856362584179987261534451739628
790048060125976300040305720980657413007100856001000007006002135009701000010500000,793248561125976384648315729982657413437129856561834297876492135359781642214563978
290800300000000046786500200020000100100009482647000903875200004310645700009008000,294816375531927846786534219928453167153769482647182953875291634312645798469378521
180023000942500008060010092209840000608395040300067850806000027407002900001700004,185923476942576138763418592259841763678395241314267859896154327437682915521739684
908260351500094872002010409003000084154083007020000905760100040009006000001005090,948267351516394872372518469693752184154983627827641935765139248289476513431825796
950064037046081059001539080034106070865000020090028000500612000613470090000890005,958264137346781259721539486234156978865947321197328564589612743613475892472893615
070620509029400000680570000300000000806750093000086005000000170064030000005004032,471623589529418367683579421357942816846751293192386745938265174264137958715894632
790400801100780090000910402975821046000000785006504000207090034300200908009100627,793452861124786593658913472975821346412369785836574219287695134361247958549138627
600502000450093700030684090203800560001000002007025010005036400320750601976418053,619572348458193726732684195293841567541967832867325914185236479324759681976418253
870500060010000207640180509000001000120006075008072006000605008000004000904008621,879523164315469287642187539467851392123946875598372416231695748786214953954738621
032104070500300002000625000080061020007402608201780054640000030098003700723056001,832194576516378492479625183384561927957432618261789354645817239198243765723956841
480060001103008526065700080058200010004080300021679005006023907510946008009800000,482365791173498526965712483758234619694581372321679845846123957517946238239857164
030074096600398700008061340053007009400059070096002084000023600310040000862000437,135274896624398751978561342253487169481659273796132584549723618317846925862915437
000001000003006097061037500000709800830040001000020006740008610300060052000900003,287591364453286197961437528624719835839645271175823946742358619398164752516972483
001002003004000900296015048560008197009000054700950300400187600010500402900020005,871492563354876921296315748563248197189763254742951386425187639618539472937624815
003060005792051400006200009268719054030026978000000601050103090029004000800002003,483967215792351486516248739268719354135426978947835621654173892329584167871692543
049003825500709106361025007600590084800004309190370562008000691415986273970130450,749613825582749136361825947623591784857264319194378562238457691415986273976132458
026853700000000000053040096240076810319005460600134020064397180708502604002060079,926853741471629358853741296245976813319285467687134925564397182798512634132468579
468050702273140509009002463001860000090030001030000600980501200327600104016324908,468953712273146589159782463741869325695237841832415697984571236327698154516324978
000009038000005004350700091000400000407500020060020805500900006840001070036040009,674219538192385764358764291285436917417598623963127845521973486849651372736842159
604300090210079064905014270450003900000001000008000000032700080890206010506000000,674382591213579864985614273451863927769421358328957146132745689897236415546198732
591300200004062031000917508063005080100480003057000000000090610048270395000050870,591348267784562931236917548463725189129486753857139426375894612648271395912653874
309000050007003060081407200108900020700340910932068000004080090506704000003020607,329816754457293861681457239148975326765342918932168475274681593596734182813529647
406150083703200000508003200630700500157009024982500307049680702000900030071300009,426157983793268145518493276634712598157839624982546317349681752265974831871325469
100000809950018000300000076580906000003500000204700560000000081600004003830169045,146327859957618432328495176581946327763582914294731568479253681615874293832169745
000000000084500970291000008809100500753942060010000000002714000370080400100035700,537896142684521973291473658829167534753942861416358297962714385375289416148635729
243600950005201000706953802657009080804507029009030060501402700008016005092785004,243678951985241376716953842657129483834567129129834567561492738478316295392785614
001090000009080054080576900076925301130000007495700080608250070000000006943607020,751394268369182754284576913876925341132468597495731682618253479527849136943617825
030810070000067105710003084002085790807436000600792040160329000920571860573048910,235814679489267135716953284342185796897436521651792348168329457924571863573648912
690538072080000600030907085040000900006029051000751800904000010008610090003000740,691538472587142639432967185145386927876429351329751864964273518758614293213895746
100500007090830004800200100400010072000048351001302006204900715315007690000000023,143569287792831564856274139438615972629748351571392846264983715315427698987156423
072834069045020008000075020014080000867040003200300800523408000000003080486007310,172834569945126738638975421314789652867542193259361847523418976791653284486297315
907201000000000006010070250825019064749032800003508090302000501680300907500027638,957261483238495176416873259825719364749632815163548792372986541681354927594127638
008052070091040006705800400570083204600000017810764035156400320024030700387095641,468952173291347586735816492579183264643529817812764935156478329924631758387295641
037604250200300100009250008000700090902005031740130006090070604001060000526800903,837614259254398167619257348183726495962485731745139826398572614471963582526841973
006007208310082076700061430009018500105470060800203004000030680678095300000820750,596347218314582976782961435439618527125479863867253194251734689678195342943826751
000000840090207100017568903700000600040602000003000002030850271900036500001700006,256391847398247165417568923729413658145682739863975412634859271972136584581724396
000000048300100720840000003003002006017060200620580304000013402100600890004857001,971236548356148729842795163583472916417369285629581374768913452135624897294857631
760009001024810076001706902600905018005030607800060295200600700400357009530090800,768529431924813576351746982642975318195238647873461295219684753486357129537192864
210089357090002800004700912341506200509004001600800430070325060100007589065910020,216489357793152846854763912341576298589234671627891435978325164132647589465918723
580062041060901000009000600006107839720008010001000006000705000075406003648039150,587362941264971385319854672456127839723698514891543726932715468175486293648239157
140000270070054319500207048000068024080400107024730000007000802802003400491806000,146389275278654319539217648713568924685492137924731586367145892852973461491826753
010000608900000100706300000500743000000005400340091075003200091104000300069000050,412579638935486127786312549521743986697825413348691275853264791174958362269137854
380500091697010005005080700460200003073098140800743000140000907730904000950070030,384567291697412385215389764469251873573698142821743659146835927738924516952176438
090143802600590007480672593547261009368459721019837654906384215154706930030915006,795143862623598147481672593547261389368459721219837654976384215154726938832915476
000050780000600010090020603100400000054260090007030001582910370000002500003000129,236159784875643912491728653168497235354261897927835461582914376619372548743586129
040301000000427060270560048500094600904006852706005090001950780090013000325700906,649381275158427369273569148512894637934176852786235491461952783897613524325748916
750314600830006001010000407507208000400000059000950084300000070081000003002001800,759314628834726591216895437597248316428163759163957284345689172681572943972431865
000003648605700923003680015109408207000009050500070000807905000306804070250300189,721593648685741923943682715169458237472139856538276491817925364396814572254367189
007310902380050006025000031073009104140830007650701328034080600500207010716493285,467318952381952746925674831873529164142836597659741328234185679598267413716493285
108600003000080602060054819900045231050960000481700090000097065019000380605410900,128679453594183672367254819976845231253961748481732596842397165719526384635418927
000070060200486010080032000400800030000047002600213740831054000527000000960020570,143579268259486317786132954472895136315647892698213745831754629527961483964328571
370006905040300000906102004164059200800030047735248600520067010010003809083900752,371486925248395176956172384164759238892631547735248691529867413417523869683914752
000534007000297500020016004000008000058409070000000600500000010900641850183700946,869534127431297568725816394697128435358469271214375689546983712972641853183752946
709000040032640059080279106000320000290001308013000020076100200000804003500002091,769513842132648759485279136854326917297451368613987425376195284921864573548732691
000963000301520490060001325810290574096000130072004080930048060108659740647130058,254963817381527496769481325813296574496875132572314689935748261128659743647132958
050600041003045600960800300600000100007008204402000003029500036006024510000000802,258693741173245698964817325695432187317958264482176953729581436836724519541369872
763541289048009050009860070476003095530096002002150730005000400027005060080627510,763541289248379651159862374476283195531796842892154736615938427327415968984627513
600053904000600082098712305780304520109200706520176839000431258840000600000068007,612853974375649182498712365786394521139285746524176839967431258841527693253968417
407851030000470805001032640018723400670089020930604708349208000000300269720090384,467851932293476815851932647518723496674589123932614758349268571185347269726195384
